French,English
partie,part
histoire,history
seulement,only
police,police
aide,help
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
donner,give
leurs,their
train,train
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
aura,will have
jouer,to play
bureau,office
